"id","UDALERRIA_KODEA/COD_MUNICIPIO","UDALERRIA/MUNICIPIO","EKITALDIA/EJERCICIO","EDUKIONTZI_KODEA/COD_CONTENEDOR","EDUKIONTZIAREN MODELOA_CAS/MODELO CONTENEDOR_CAS","HONDAKINAREN FRAKZIOA_CAS/FRACCION DEL RESIDUO_CAS","longitude","latitude","horaMin","horaMax"
1,1,"ABADINO",2020,1,"CARGA VERTICAL","ENVASES LIGEROS","531594,64","4779416,18",0,23
2,1,"ABADINO",2020,2,"CARGA VERTICAL","ENVASES LIGEROS","531628,03","4779457,63",0,23
3,1,"ABADINO",2020,3,"CARGA VERTICAL","ENVASES LIGEROS","531502,39","4779397,62",0,23
4,1,"ABADINO",2020,4,"CARGA VERTICAL","ENVASES LIGEROS","531708,59","4779389,34",0,23
5,1,"ABADINO",2020,5,"CARGA VERTICAL","ENVASES LIGEROS","531634,44","4779297,64",0,23
6,1,"ABADINO",2020,6,"CARGA VERTICAL","ENVASES LIGEROS","531700,86","4779270,46",0,23
7,1,"ABADINO",2020,7,"CARGA VERTICAL","ENVASES LIGEROS","531199,29","4776493,8",0,23
8,1,"ABADINO",2020,8,"CARGA VERTICAL","ENVASES LIGEROS","531735,39","4779510,82",0,23
9,1,"ABADINO",2020,10,"CARGA VERTICAL","ENVASES LIGEROS","531779,52","4779586,18",0,23
10,1,"ABADINO",2020,11,"CARGA VERTICAL","ENVASES LIGEROS","531482,8","4779602,73",0,23
11,1,"ABADINO",2020,12,"CARGA VERTICAL","ENVASES LIGEROS","531533,74","4779572,55",0,23
12,1,"ABADINO",2020,13,"CARGA VERTICAL","ENVASES LIGEROS","531508,93","4778407,82",0,23
13,1,"ABADINO",2020,14,"CARGA VERTICAL","ENVASES LIGEROS","531681,07","4777900,45",0,23
14,1,"ABADINO",2020,15,"CARGA VERTICAL","ENVASES LIGEROS","531947,67","4777904,08",0,23
15,1,"ABADINO",2020,16,"SOTERRADO","ENVASES LIGEROS","531582,57","4777859,9",0,23
16,1,"ABADINO",2020,17,"CARGA VERTICAL","ENVASES LIGEROS","531774","4777660,86",0,23
17,1,"ABADINO",2020,18,"CARGA VERTICAL","ENVASES LIGEROS","531739,74","4777782,94",0,23
18,1,"ABADINO",2020,20,"CARGA VERTICAL","ENVASES LIGEROS","532113,79","4777086,42",0,23
19,1,"ABADINO",2020,21,"CARGA VERTICAL","ENVASES LIGEROS","532202,72","4777147,15",0,23
